line,type,issue,detail
831,normalize,date_normalized,"{""event_date"": ""2015-02-27T07:00:00Z""}"
832,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
833,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
834,normalize,date_normalized,"{""event_date"": ""2009-10-07T06:00:00Z""}"
835,normalize,date_normalized,"{""event_date"": ""2009-01-16T07:00:00Z""}"
836,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
837,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
838,normalize,date_normalized,"{""event_date"": ""2010-11-17T07:00:00Z""}"
839,normalize,date_normalized,"{""event_date"": ""2009-07-10T06:00:00Z""}"
840,normalize,date_normalized,"{""event_date"": ""2009-11-05T07:00:00Z""}"
841,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
842,normalize,date_normalized,"{""event_date"": ""2013-07-26T06:00:00Z""}"
843,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
844,normalize,date_normalized,"{""event_date"": ""2009-10-29T06:00:00Z""}"
845,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
846,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
847,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
848,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
849,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
850,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
851,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
852,normalize,date_normalized,"{""event_date"": ""2012-11-13T07:00:00Z""}"
853,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
854,normalize,date_normalized,"{""event_date"": ""2010-06-03T06:00:00Z""}"
855,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
856,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
857,normalize,date_normalized,"{""event_date"": ""2009-11-05T07:00:00Z""}"
858,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
859,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
860,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
861,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
862,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
863,normalize,date_normalized,"{""event_date"": ""2013-02-20T07:00:00Z""}"
864,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
865,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
866,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
867,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
868,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
869,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
870,normalize,date_normalized,"{""event_date"": ""2010-05-12T06:00:00Z""}"
871,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
872,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
873,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
874,normalize,date_normalized,"{""event_date"": ""2013-02-21T07:00:00Z""}"
875,normalize,date_normalized,"{""event_date"": ""2009-11-01T06:00:00Z""}"
876,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
877,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
878,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
879,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
880,normalize,date_normalized,"{""event_date"": ""2009-06-17T06:00:00Z""}"
881,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
882,normalize,date_normalized,"{""event_date"": ""2009-06-16T06:00:00Z""}"
883,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
884,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
885,normalize,date_normalized,"{""event_date"": ""2010-03-25T06:00:00Z""}"
886,normalize,date_normalized,"{""event_date"": ""2009-11-05T07:00:00Z""}"
887,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
888,normalize,date_normalized,"{""event_date"": ""2011-02-17T07:00:00Z""}"
889,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
890,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
891,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
892,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
893,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
894,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
895,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
896,normalize,date_normalized,"{""event_date"": ""2013-02-21T07:00:00Z""}"
897,normalize,date_normalized,"{""event_date"": ""2009-07-10T06:00:00Z""}"
898,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
899,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
900,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
901,normalize,date_normalized,"{""event_date"": ""2009-06-15T06:00:00Z""}"
902,normalize,date_normalized,"{""event_date"": ""2011-02-17T07:00:00Z""}"
903,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
904,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
905,normalize,date_normalized,"{""event_date"": ""2011-02-17T07:00:00Z""}"
906,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
907,normalize,date_normalized,"{""event_date"": ""2008-10-01T06:00:00Z""}"
908,normalize,date_normalized,"{""event_date"": ""2012-05-23T06:00:00Z""}"
909,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
910,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
911,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
912,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
913,normalize,date_normalized,"{""event_date"": ""2009-11-05T07:00:00Z""}"
914,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
915,normalize,date_normalized,"{""event_date"": ""2012-02-08T07:00:00Z""}"
916,normalize,date_normalized,"{""event_date"": ""2009-06-17T06:00:00Z""}"
917,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
918,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
919,normalize,date_normalized,"{""event_date"": ""2013-02-21T07:00:00Z""}"
920,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
921,normalize,date_normalized,"{""event_date"": ""2009-06-17T06:00:00Z""}"
922,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
923,normalize,date_normalized,"{""event_date"": ""2011-03-01T07:00:00Z""}"
924,normalize,date_normalized,"{""event_date"": ""2009-06-25T06:00:00Z""}"
925,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
926,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
927,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
928,normalize,date_normalized,"{""event_date"": ""2010-12-09T07:00:00Z""}"
929,normalize,date_normalized,"{""event_date"": ""2010-08-30T06:00:00Z""}"
930,normalize,date_normalized,"{""event_date"": ""2015-07-01T06:00:00Z""}"
931,normalize,date_normalized,"{""event_date"": ""2011-02-17T07:00:00Z""}"
932,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
933,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
934,normalize,date_normalized,"{""event_date"": ""2009-06-17T06:00:00Z""}"
935,normalize,date_normalized,"{""event_date"": ""2009-06-22T06:00:00Z""}"
936,normalize,date_normalized,"{""event_date"": ""2010-06-03T06:00:00Z""}"
937,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
938,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
939,normalize,date_normalized,"{""event_date"": ""2009-10-07T06:00:00Z""}"
940,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
941,normalize,date_normalized,"{""event_date"": ""2012-11-13T07:00:00Z""}"
942,normalize,date_normalized,"{""event_date"": ""2009-10-29T06:00:00Z""}"
943,normalize,date_normalized,"{""event_date"": ""2009-09-28T06:00:00Z""}"
944,normalize,date_normalized,"{""event_date"": ""2009-06-17T06:00:00Z""}"
945,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
946,normalize,date_normalized,"{""event_date"": ""2009-08-10T06:00:00Z""}"
947,normalize,date_normalized,"{""event_date"": ""2009-11-01T06:00:00Z""}"
948,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
949,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
950,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
951,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
952,normalize,date_normalized,"{""event_date"": ""2015-07-01T06:00:00Z""}"
953,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
954,normalize,date_normalized,"{""event_date"": ""2009-06-22T06:00:00Z""}"
955,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
956,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
957,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
958,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
959,normalize,date_normalized,"{""event_date"": ""2009-07-10T06:00:00Z""}"
960,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
961,normalize,date_normalized,"{""event_date"": ""2010-06-25T06:00:00Z""}"
962,normalize,date_normalized,"{""event_date"": ""2009-06-09T06:00:00Z""}"
963,normalize,date_normalized,"{""event_date"": ""2014-08-27T06:00:00Z""}"
964,normalize,date_normalized,"{""event_date"": ""2011-01-17T07:00:00Z""}"
965,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
966,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
967,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
968,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
969,normalize,date_normalized,"{""event_date"": ""2009-06-17T06:00:00Z""}"
970,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
971,normalize,date_normalized,"{""event_date"": ""2010-10-21T06:00:00Z""}"
972,normalize,date_normalized,"{""event_date"": ""2012-01-06T07:00:00Z""}"
973,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
974,normalize,date_normalized,"{""event_date"": ""2013-02-21T07:00:00Z""}"
975,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
976,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
977,normalize,date_normalized,"{""event_date"": ""2009-09-28T06:00:00Z""}"
978,normalize,date_normalized,"{""event_date"": ""2011-03-01T07:00:00Z""}"
979,normalize,date_normalized,"{""event_date"": ""2011-03-01T07:00:00Z""}"
980,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
981,normalize,date_normalized,"{""event_date"": ""2010-12-09T07:00:00Z""}"
982,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
983,normalize,date_normalized,"{""event_date"": ""2011-02-17T07:00:00Z""}"
984,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
985,normalize,date_normalized,"{""event_date"": ""2012-05-23T06:00:00Z""}"
986,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
987,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
988,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
989,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
990,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
991,normalize,date_normalized,"{""event_date"": ""2009-09-23T06:00:00Z""}"
992,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
993,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
994,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
995,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
996,normalize,date_normalized,"{""event_date"": ""2013-03-23T06:00:00Z""}"
997,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
998,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
999,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1000,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1001,normalize,date_normalized,"{""event_date"": ""2009-06-10T06:00:00Z""}"
1002,normalize,date_normalized,"{""event_date"": ""2009-01-16T07:00:00Z""}"
1003,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
1004,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1005,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1006,normalize,date_normalized,"{""event_date"": ""2009-08-12T06:00:00Z""}"
1007,normalize,date_normalized,"{""event_date"": ""2012-05-14T06:00:00Z""}"
1008,normalize,date_normalized,"{""event_date"": ""2011-02-17T07:00:00Z""}"
1009,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1010,normalize,date_normalized,"{""event_date"": ""2009-10-29T06:00:00Z""}"
1011,normalize,date_normalized,"{""event_date"": ""2011-02-17T07:00:00Z""}"
1012,normalize,date_normalized,"{""event_date"": ""2011-03-01T07:00:00Z""}"
1013,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1014,normalize,date_normalized,"{""event_date"": ""2011-02-17T07:00:00Z""}"
1015,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1016,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1017,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1018,normalize,date_normalized,"{""event_date"": ""2009-07-20T06:00:00Z""}"
1019,normalize,date_normalized,"{""event_date"": ""2012-01-24T07:00:00Z""}"
1020,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1021,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1022,normalize,date_normalized,"{""event_date"": ""2010-07-21T06:00:00Z""}"
1023,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1024,normalize,date_normalized,"{""event_date"": ""2009-07-10T06:00:00Z""}"
1025,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1026,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1027,normalize,date_normalized,"{""event_date"": ""2009-10-07T06:00:00Z""}"
1028,normalize,date_normalized,"{""event_date"": ""2009-11-05T07:00:00Z""}"
1029,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1030,normalize,date_normalized,"{""event_date"": ""2011-11-16T07:00:00Z""}"
1031,normalize,date_normalized,"{""event_date"": ""2009-07-10T06:00:00Z""}"
1032,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1033,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1034,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1035,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
1036,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1037,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1038,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1039,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1040,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1041,normalize,date_normalized,"{""event_date"": ""2013-07-26T06:00:00Z""}"
1042,normalize,date_normalized,"{""event_date"": ""2009-08-12T06:00:00Z""}"
1043,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1044,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1045,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1046,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1047,normalize,date_normalized,"{""event_date"": ""2009-10-29T06:00:00Z""}"
1048,normalize,date_normalized,"{""event_date"": ""2009-06-17T06:00:00Z""}"
1049,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1050,normalize,date_normalized,"{""event_date"": ""2009-06-15T06:00:00Z""}"
1051,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1052,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
1053,normalize,date_normalized,"{""event_date"": ""2011-02-20T07:00:00Z""}"
1054,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
1055,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1056,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1057,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1058,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
1059,normalize,date_normalized,"{""event_date"": ""2010-06-03T06:00:00Z""}"
1060,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1061,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1062,normalize,date_normalized,"{""event_date"": ""2011-03-21T06:00:00Z""}"
1063,normalize,date_normalized,"{""event_date"": ""2014-03-13T06:00:00Z""}"
1064,normalize,date_normalized,"{""event_date"": ""2010-12-30T07:00:00Z""}"
1065,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1066,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1067,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1068,normalize,date_normalized,"{""event_date"": ""2011-03-01T07:00:00Z""}"
1069,normalize,date_normalized,"{""event_date"": ""2010-10-21T06:00:00Z""}"
1070,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1071,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
1072,normalize,date_normalized,"{""event_date"": ""2009-08-12T06:00:00Z""}"
1073,normalize,date_normalized,"{""event_date"": ""2010-05-12T06:00:00Z""}"
1074,normalize,date_normalized,"{""event_date"": ""2013-07-05T06:00:00Z""}"
1075,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1076,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1077,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1078,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
1079,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1080,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1081,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
1082,normalize,date_normalized,"{""event_date"": ""2009-08-12T06:00:00Z""}"
1083,normalize,date_normalized,"{""event_date"": ""2009-07-10T06:00:00Z""}"
1084,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1085,normalize,date_normalized,"{""event_date"": ""2008-11-10T07:00:00Z""}"
1086,normalize,date_normalized,"{""event_date"": ""2011-04-07T06:00:00Z""}"
1087,normalize,date_normalized,"{""event_date"": ""2012-02-08T07:00:00Z""}"
1088,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
1089,normalize,date_normalized,"{""event_date"": ""2010-08-30T06:00:00Z""}"
1090,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1091,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1092,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1093,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1094,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1095,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1096,normalize,date_normalized,"{""event_date"": ""2010-05-18T06:00:00Z""}"
1097,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1098,normalize,date_normalized,"{""event_date"": ""2009-06-17T06:00:00Z""}"
1099,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1100,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1101,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1102,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1103,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1104,normalize,date_normalized,"{""event_date"": ""2009-06-11T06:00:00Z""}"
1105,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1106,normalize,date_normalized,"{""event_date"": ""2009-10-29T06:00:00Z""}"
1107,normalize,date_normalized,"{""event_date"": ""2010-07-26T06:00:00Z""}"
1108,normalize,date_normalized,"{""event_date"": ""2010-07-20T06:00:00Z""}"
1109,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
1110,normalize,date_normalized,"{""event_date"": ""2009-06-07T06:00:00Z""}"
1111,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1112,normalize,date_normalized,"{""event_date"": ""2011-02-17T07:00:00Z""}"
1113,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1114,normalize,date_normalized,"{""event_date"": ""2010-07-21T06:00:00Z""}"
1115,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1116,normalize,date_normalized,"{""event_date"": ""2010-05-12T06:00:00Z""}"
1117,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1118,normalize,date_normalized,"{""event_date"": ""2012-05-23T06:00:00Z""}"
1119,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1120,normalize,date_normalized,"{""event_date"": ""2009-11-01T06:00:00Z""}"
1121,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1122,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1123,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1124,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1125,normalize,date_normalized,"{""event_date"": ""2009-11-05T07:00:00Z""}"
1126,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
1127,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1128,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1129,normalize,date_normalized,"{""event_date"": ""2013-03-23T06:00:00Z""}"
1130,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1131,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1132,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1133,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1134,normalize,date_normalized,"{""event_date"": ""2009-06-22T06:00:00Z""}"
1135,normalize,date_normalized,"{""event_date"": ""2009-11-05T07:00:00Z""}"
1136,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1137,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1138,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1139,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1140,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1141,normalize,date_normalized,"{""event_date"": ""2010-12-01T07:00:00Z""}"
1142,normalize,date_normalized,"{""event_date"": ""2010-12-09T07:00:00Z""}"
1143,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1144,normalize,date_normalized,"{""event_date"": ""2010-03-03T07:00:00Z""}"
1145,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1146,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1147,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1148,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1149,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1150,normalize,date_normalized,"{""event_date"": ""2012-07-27T06:00:00Z""}"
1151,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1152,normalize,date_normalized,"{""event_date"": ""2011-03-21T06:00:00Z""}"
1153,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
1154,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1155,normalize,date_normalized,"{""event_date"": ""2009-07-08T06:00:00Z""}"
1156,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1157,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1158,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1159,normalize,date_normalized,"{""event_date"": ""2011-02-17T07:00:00Z""}"
1160,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1161,normalize,date_normalized,"{""event_date"": ""2012-11-13T07:00:00Z""}"
1162,normalize,date_normalized,"{""event_date"": ""2011-01-21T07:00:00Z""}"
1163,normalize,date_normalized,"{""event_date"": ""2010-11-22T07:00:00Z""}"
1164,normalize,date_normalized,"{""event_date"": ""2009-06-10T06:00:00Z""}"
1165,normalize,date_normalized,"{""event_date"": ""2010-12-07T07:00:00Z""}"
1166,normalize,date_normalized,"{""event_date"": ""2009-11-01T06:00:00Z""}"
1167,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1168,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
1169,normalize,date_normalized,"{""event_date"": ""2010-03-29T06:00:00Z""}"
1170,normalize,date_normalized,"{""event_date"": ""2010-03-05T07:00:00Z""}"
1171,normalize,date_normalized,"{""event_date"": ""2009-07-29T06:00:00Z""}"
1172,normalize,date_normalized,"{""event_date"": ""2011-04-07T06:00:00Z""}"
1173,normalize,date_normalized,"{""event_date"": ""2012-05-08T06:00:00Z""}"
1174,normalize,date_normalized,"{""event_date"": ""2011-01-20T07:00:00Z""}"
1175,normalize,date_normalized,"{""event_date"": ""2010-04-28T06:00:00Z""}"
