line,type,issue,detail
80,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
81,normalize,date_normalized,"{""event_date"": ""2012-09-04T06:00:00Z""}"
82,normalize,date_normalized,"{""event_date"": ""2012-05-22T06:00:00Z""}"
83,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
84,normalize,date_normalized,"{""event_date"": ""2012-02-17T07:00:00Z""}"
85,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
86,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
87,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
88,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
89,normalize,date_normalized,"{""event_date"": ""2012-02-02T07:00:00Z""}"
90,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
91,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
92,normalize,date_normalized,"{""event_date"": ""2014-10-16T06:00:00Z""}"
93,normalize,date_normalized,"{""event_date"": ""2012-02-17T07:00:00Z""}"
94,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
95,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
96,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
97,normalize,date_normalized,"{""event_date"": ""2012-02-21T07:00:00Z""}"
98,normalize,date_normalized,"{""event_date"": ""2012-02-17T07:00:00Z""}"
99,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
100,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
101,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
102,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
103,normalize,date_normalized,"{""event_date"": ""2013-12-14T07:00:00Z""}"
104,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
105,normalize,date_normalized,"{""event_date"": ""2012-03-26T06:00:00Z""}"
106,normalize,date_normalized,"{""event_date"": ""2011-07-25T06:00:00Z""}"
107,normalize,date_normalized,"{""event_date"": ""2011-11-28T07:00:00Z""}"
108,normalize,date_normalized,"{""event_date"": ""2011-10-31T06:00:00Z""}"
109,normalize,date_normalized,"{""event_date"": ""2011-10-17T06:00:00Z""}"
110,normalize,date_normalized,"{""event_date"": ""2012-03-08T07:00:00Z""}"
111,normalize,date_normalized,"{""event_date"": ""2012-03-08T07:00:00Z""}"
112,normalize,date_normalized,"{""event_date"": ""2009-09-17T06:00:00Z""}"
113,normalize,date_normalized,"{""event_date"": ""2010-12-24T07:00:00Z""}"
114,normalize,date_normalized,"{""event_date"": ""2010-04-05T06:00:00Z""}"
115,normalize,date_normalized,"{""event_date"": ""2011-09-21T06:00:00Z""}"
116,normalize,date_normalized,"{""event_date"": ""2012-04-18T06:00:00Z""}"
117,normalize,date_normalized,"{""event_date"": ""2011-07-25T06:00:00Z""}"
118,normalize,date_normalized,"{""event_date"": ""2012-05-02T06:00:00Z""}"
119,normalize,date_normalized,"{""event_date"": ""2011-03-18T06:00:00Z""}"
120,normalize,date_normalized,"{""event_date"": ""2012-05-02T06:00:00Z""}"
121,normalize,date_normalized,"{""event_date"": ""2012-03-08T07:00:00Z""}"
122,normalize,date_normalized,"{""event_date"": ""2011-10-31T06:00:00Z""}"
123,normalize,date_normalized,"{""event_date"": ""2011-05-06T06:00:00Z""}"
124,normalize,date_normalized,"{""event_date"": ""2011-07-18T06:00:00Z""}"
125,normalize,date_normalized,"{""event_date"": ""2012-01-14T07:00:00Z""}"
126,normalize,date_normalized,"{""event_date"": ""2012-01-03T07:00:00Z""}"
127,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
128,normalize,date_normalized,"{""event_date"": ""2011-07-05T06:00:00Z""}"
129,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
130,normalize,date_normalized,"{""event_date"": ""2013-03-13T06:00:00Z""}"
131,normalize,date_normalized,"{""event_date"": ""2012-10-06T06:00:00Z""}"
132,normalize,date_normalized,"{""event_date"": ""2013-06-15T06:00:00Z""}"
133,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
134,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
135,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
136,normalize,date_normalized,"{""event_date"": ""2015-02-03T07:00:00Z""}"
137,normalize,date_normalized,"{""event_date"": ""2013-06-21T06:00:00Z""}"
138,normalize,date_normalized,"{""event_date"": ""2013-06-01T06:00:00Z""}"
139,normalize,date_normalized,"{""event_date"": ""2008-04-13T06:00:00Z""}"
140,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
141,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
142,normalize,date_normalized,"{""event_date"": ""2010-11-08T07:00:00Z""}"
143,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
144,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
145,normalize,date_normalized,"{""event_date"": ""2013-08-19T06:00:00Z""}"
146,normalize,date_normalized,"{""event_date"": ""2013-05-30T06:00:00Z""}"
147,normalize,date_normalized,"{""event_date"": ""2013-02-21T07:00:00Z""}"
148,normalize,date_normalized,"{""event_date"": ""2012-02-10T07:00:00Z""}"
149,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
150,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
151,normalize,date_normalized,"{""event_date"": ""2012-06-15T06:00:00Z""}"
152,normalize,date_normalized,"{""event_date"": ""2009-08-26T06:00:00Z""}"
153,normalize,date_normalized,"{""event_date"": ""2011-11-20T07:00:00Z""}"
154,normalize,date_normalized,"{""event_date"": ""2012-03-29T06:00:00Z""}"
155,normalize,date_normalized,"{""event_date"": ""2008-09-16T06:00:00Z""}"
156,normalize,date_normalized,"{""event_date"": ""2011-02-25T07:00:00Z""}"
157,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
158,normalize,date_normalized,"{""event_date"": ""2009-12-05T07:00:00Z""}"
159,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
160,normalize,date_normalized,"{""event_date"": ""2011-05-05T06:00:00Z""}"
161,normalize,date_normalized,"{""event_date"": ""2012-03-31T06:00:00Z""}"
162,normalize,date_normalized,"{""event_date"": ""2012-06-09T06:00:00Z""}"
163,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
164,normalize,date_normalized,"{""event_date"": ""2012-05-29T06:00:00Z""}"
165,normalize,date_normalized,"{""event_date"": ""2011-03-09T07:00:00Z""}"
166,normalize,date_normalized,"{""event_date"": ""2011-05-28T06:00:00Z""}"
167,normalize,date_normalized,"{""event_date"": ""2009-01-11T07:00:00Z""}"
168,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
169,normalize,date_normalized,"{""event_date"": ""2009-08-25T06:00:00Z""}"
170,normalize,date_normalized,"{""event_date"": ""2011-03-02T07:00:00Z""}"
171,normalize,date_normalized,"{""event_date"": ""2011-09-28T06:00:00Z""}"
172,normalize,date_normalized,"{""event_date"": ""2012-01-26T07:00:00Z""}"
173,normalize,date_normalized,"{""event_date"": ""2012-03-22T06:00:00Z""}"
174,normalize,date_normalized,"{""event_date"": ""2010-06-18T06:00:00Z""}"
175,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
176,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
177,normalize,date_normalized,"{""event_date"": ""2009-08-26T06:00:00Z""}"
178,normalize,date_normalized,"{""event_date"": ""2009-09-09T06:00:00Z""}"
179,normalize,date_normalized,"{""event_date"": ""2012-03-23T06:00:00Z""}"
180,normalize,date_normalized,"{""event_date"": ""2010-03-15T06:00:00Z""}"
181,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
182,normalize,date_normalized,"{""event_date"": ""2011-05-31T06:00:00Z""}"
183,normalize,date_normalized,"{""event_date"": ""2010-10-26T06:00:00Z""}"
184,normalize,date_normalized,"{""event_date"": ""2011-04-27T06:00:00Z""}"
185,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
186,normalize,date_normalized,"{""event_date"": ""2011-08-16T06:00:00Z""}"
187,normalize,date_normalized,"{""event_date"": ""2010-06-08T06:00:00Z""}"
188,normalize,date_normalized,"{""event_date"": ""2008-06-08T06:00:00Z""}"
189,normalize,date_normalized,"{""event_date"": ""2012-12-04T07:00:00Z""}"
190,normalize,date_normalized,"{""event_date"": ""2010-09-27T06:00:00Z""}"
191,normalize,date_normalized,"{""event_date"": ""2012-05-29T06:00:00Z""}"
192,normalize,date_normalized,"{""event_date"": ""2009-11-18T07:00:00Z""}"
193,normalize,date_normalized,"{""event_date"": ""2011-05-19T06:00:00Z""}"
194,normalize,date_normalized,"{""event_date"": ""2012-11-14T07:00:00Z""}"
195,normalize,date_normalized,"{""event_date"": ""2012-07-03T06:00:00Z""}"
196,normalize,date_normalized,"{""event_date"": ""2012-08-04T06:00:00Z""}"
197,normalize,date_normalized,"{""event_date"": ""2010-10-13T06:00:00Z""}"
198,normalize,date_normalized,"{""event_date"": ""2011-04-13T06:00:00Z""}"
199,normalize,date_normalized,"{""event_date"": ""2015-06-20T06:00:00Z""}"
200,normalize,date_normalized,"{""event_date"": ""2011-10-19T06:00:00Z""}"
